bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
57424,446372,Corey Kluber,31,CLE,7.5,58,2.7,0.4,63,29,29,0,203.7,18,4,0,2.25,2.47,2.5,0.87,34.1,4.6,7.4,33.7
65751,519242,Chris Sale,28,BOS,7.3,60,2.83,0.42,62,32,32,0,214.3,17,8,0,2.9,3.07,2.45,0.97,36.2,5.1,7.2,31.7
56753,453286,Max Scherzer,32,WSH,7.3,61,2.85,0.42,71,31,31,0,200.7,16,6,0,2.51,2.78,2.9,0.9,34.4,7.1,4.9,32.7
49786,477132,Clayton Kershaw,29,LAD,6.5,72,3.37,0.43,77,27,27,0,175,18,4,0,2.31,2.52,3.07,0.95,29.7,4.4,6.7,30
31734,425844,Zack Greinke,33,ARI,6.3,75,3.54,0.42,80,32,32,0,202.3,17,7,0,3.2,3.56,3.31,1.07,26.8,5.6,4.8,29.2
101074,622663,Luis Severino,23,NYY,6.2,72,3.38,0.45,76,31,31,0,193.3,14,6,0,2.98,3.4,3.07,1.04,29.4,6.5,4.5,28.1
47229,471911,Carlos Carrasco,30,CLE,6.2,79,3.69,0.43,78,32,32,0,200,18,6,0,3.29,3.29,3.1,1.1,28.3,5.8,4.9,29.7
67740,594798,Jacob deGrom,29,NYM,5.7,73,3.41,0.44,77,31,31,0,201.3,15,10,0,3.53,3.89,3.5,1.19,28.9,7.1,4.1,29.3
61056,544931,Stephen Strasburg,28,WSH,5.2,64,3.02,0.39,69,28,28,0,175.3,15,4,0,2.52,2.82,2.72,1.02,29.1,6.7,4.3,28.1
50175,502188,Jeff Samardzija,32,SF,5,87,4.09,0.44,90,32,32,0,207.7,9,15,0,4.42,4.64,3.61,1.14,24.2,3.8,6.4,22.5
67219,593372,Carlos Martínez,25,STL,4.9,82,3.84,0.44,84,32,32,0,205,12,11,0,3.64,4.08,3.91,1.22,25.3,8.3,3.1,24.6
50101,502042,Chris Archer,28,TB,4.6,80,3.75,0.45,80,34,34,0,201,10,12,0,4.07,4.52,3.4,1.26,29.2,7,4.2,30.6
67083,592662,Robbie Ray,25,ARI,4.6,74,3.5,0.54,85,28,28,0,162,15,5,0,2.89,3.17,3.72,1.15,32.8,10.7,3.1,34.7
100718,622072,Alex Wood,26,LAD,4.5,79,3.73,0.44,83,27,25,2,152.3,16,3,0,2.72,2.95,3.32,1.06,24.6,6.2,4,25.8
