Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
405,997,V,STL,WAINWRIGHT-R,1,1,0,0,1,0,0,0,0,3,-115,-102,1.5,-220,7.5,-105,7,-115
405,998,H,CUB,JLESTER-L,0,0,0,0,0,0,0,0,0,0,-105,-108,-1.5,190,7.5,-115,7,-105
406,901,V,COL,KKENDRICK-R,4,0,2,4,0,0,0,0,0,10,140,138,1.5,-170,8,-115,9,-110
406,902,H,MIL,KLOHSE-R,0,0,0,0,0,0,0,0,0,0,-160,-153,-1.5,150,8,-105,9,-110
406,903,V,NYM,BCOLON-R,0,0,0,0,0,2,1,0,0,3,170,150,1.5,-155,7,100,7,-115
406,904,H,WAS,MSCHERZER-R,0,0,0,1,0,0,0,0,0,1,-190,-170,-1.5,135,7,-120,7,-105
406,905,V,ATL,JTEHERAN-R,1,0,0,0,0,1,0,0,0,2,105,137,1.5,-170,7,100,7,-105
406,906,H,MIA,HALVAREZ-R,0,0,1,0,0,0,0,0,0,1,-125,-152,-1.5,150,7,-120,7,-115
406,907,V,PIT,FLIRIANO-L,0,0,0,0,0,0,0,2,0,2,110,113,1.5,-230,7,100,7,105
406,908,H,CIN,JCUETO-R,0,0,1,1,0,0,0,3,x,5,-130,-123,-1.5,190,7,-120,7,-125
406,909,V,SDG,JSHIELDS-R,1,0,0,0,2,0,0,0,0,3,170,174,1.5,-140,6,-115,6,-109
406,910,H,LOS,CKERSHAW-L,0,0,0,2,0,0,1,3,x,6,-190,-194,-1.5,120,6,-105,6,-111
406,911,V,SFO,BUMGARNER-L,0,0,1,0,4,0,0,0,0,5,-140,-143,-1.5,121,7.5,100,7.5,-110
406,912,H,ARI,COLLMENTER-R,0,0,1,0,0,0,0,3,0,4,120,128,1.5,-141,7.5,-120,7.5,-110
406,913,V,TOR,HUTCHISON-R,0,0,5,0,0,0,1,0,0,6,130,125,1.5,-175,8,100,8,100
406,914,H,NYY,MTANAKA-R,0,0,0,0,0,1,0,0,0,1,-150,-140,-1.5,155,8,-120,8,-120
406,915,V,MIN,PHUGHES-R,0,0,0,0,0,0,0,0,0,0,170,146,1.5,-148,7.5,-110,8,-115
406,916,H,DET,DPRICE-L,0,3,0,0,0,1,0,0,x,4,-190,-161,-1.5,128,7.5,-110,8,-105
406,917,V,BAL,CTILLMAN-R,1,0,0,0,2,1,0,1,1,6,105,113,1.5,-205,7.5,100,7,-115
406,918,H,TAM,CARCHER-R,0,0,0,0,0,0,1,1,0,2,-125,-123,-1.5,175,7.5,-120,7,-105
406,919,V,CWS,SAMARDZIJA-R,0,0,0,0,0,0,1,0,0,1,105,110,1.5,-210,7.5,-105,7.5,100
406,920,H,KAN,YVENTURA-R,0,1,2,0,1,0,5,1,x,10,-125,-120,-1.5,180,7.5,-115,7.5,-120
406,921,V,LAA,JWEAVER-R,1,0,0,0,0,0,0,0,0,1,125,140,1.5,-170,6.5,100,6.5,-125
406,922,H,SEA,FHERNANDZ-R,0,0,2,0,2,0,0,0,x,4,-145,-155,-1.5,150,6.5,-120,6.5,105
406,923,V,CLE,CKLUBER-R,0,0,0,0,0,0,0,0,0,0,-125,-110,-1.5,150,7.5,-110,7.5,-104
406,924,H,HOU,DKEUCHEL-L,0,0,0,0,0,1,0,1,x,2,105,100,1.5,-170,7.5,-110,7.5,-116
406,925,V,TEX,YGALLARDO-R,0,0,0,0,0,0,0,0,0,0,130,151,1.5,-150,7,-110,7,-115
406,926,H,OAK,SGRAY-R,2,0,0,2,0,0,3,1,x,8,-150,-166,-1.5,130,7,-110,7,-105
406,927,V,BOS,CBUCHHOLZ-R,1,0,1,0,2,0,0,0,4,8,-109,-104,-1.5,155,7.5,100,7.5,100
406,928,H,PHI,CHAMELS-L,0,0,0,0,0,0,0,0,0,0,-111,-106,1.5,-175,7.5,-120,7.5,-120
407,951,V,ATL,AWOOD-L,7,0,0,0,0,0,1,0,4,12,115,131,1.5,-190,7,-105,7,-115
407,952,H,MIA,MLATOS-R,0,0,0,0,2,0,0,0,0,2,-135,-146,-1.5,160,7,-115,7,-105
407,955,V,COL,JLYLES-R,0,0,0,3,1,1,0,0,0,5,145,113,1.5,-190,8.5,100,8,-115
407,956,H,MIL,MGARZA-R,0,0,0,0,2,0,0,0,0,2,-165,-123,-1.5,160,8.5,-120,8,-105
407,957,V,SFO,VOGELSONG-R,2,0,0,1,1,2,0,0,0,6,105,-105,-1.5,150,7.5,-105,8.5,-110
407,958,H,ARI,DELAROSA-R,0,1,3,0,3,0,0,0,x,7,-125,-105,1.5,-170,7.5,-115,8.5,-110
