Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RunLine,,OpenOU,,CloseOU,
723,901,V,NYY,GCOLE-R,2,0,1,0,1,0,x,x,x,4,-126,-170,-1.5,-115,7,100,7.5,-115
723,902,H,WAS,MSCHERZER-R,1,0,0,0,0,0,x,x,x,1,114,160,1.5,-105,7,-120,7.5,-105
723,903,V,SFO,JCUETO-R,0,0,1,0,0,0,0,0,0,1,264,250,1.5,150,8,-110,9,-120
723,904,H,LAD,DMAY-R,0,0,0,1,0,0,5,2,0,8,-300,-290,-1.5,-170,8,-110,9,100
724,951,V,ATL,MSOROKA-R,0,0,0,0,0,0,0,0,0,0,110,157,1.5,-155,8,-110,7.5,-120
724,952,H,NYM,JDEGROM-R,0,0,0,0,0,0,1,0,x,1,-130,-167,-1.5,135,8,-110,7.5,100
724,953,V,DET,MBOYD-L,0,0,0,1,0,0,0,0,0,1,-200,163,1.5,-125,8,100,9,-105
724,954,H,CIN,SGRAY-R,2,0,1,0,1,1,2,0,x,7,170,-176,-1.5,105,8,-120,9,-115
724,955,V,TOR,HRYU-L,0,0,0,3,3,0,0,0,0,6,-140,135,1.5,-160,8.5,100,7.5,-100
724,956,H,TAM,CMORTON-R,0,0,0,1,2,0,0,1,0,4,120,-145,-1.5,140,8.5,-120,7.5,-120
724,957,V,MIA,SALCANTARA-R,0,0,1,0,0,4,0,0,0,5,-175,185,1.5,-110,8,-110,9,-105
724,958,H,PHI,ANOLA-R,0,0,0,0,1,0,1,0,0,2,151,-205,-1.5,-110,8,-110,9,-115
724,959,V,KAN,DDUFFY-L,0,0,0,0,0,0,0,0,0,0,115,205,1.5,105,8,-120,9,100
724,960,H,CLE,SBIEBER-R,0,0,0,0,2,0,0,0,x,2,-135,-225,-1.5,-125,8,100,9,-120
724,961,V,MIL,BWOODRUFF-R,0,0,0,0,0,0,0,0,0,0,-140,105,1.5,-190,8,-121,8.5,-120
724,962,H,CUB,KHENDRICKS-R,0,0,2,0,0,0,0,1,x,3,120,-115,-1.5,170,8,101,8.5,100
724,963,V,BAL,TMILONE-L,0,0,0,0,0,1,1,0,0,2,166,195,1.5,100,9.5,-110,10,105
724,964,H,BOS,NEOVALDI-R,0,0,4,6,0,3,0,0,x,13,-185,-215,-1.5,-120,9.5,-110,10,-125
724,965,V,COL,GMARQUEZ-R,0,0,0,0,0,0,0,0,0,0,-140,-105,1.5,-200,8,100,9,-105
724,966,H,TEX,LLYNN-R,0,0,0,0,0,1,0,0,x,1,120,-105,-1.5,175,8,-120,9,-115
724,967,V,MIN,JBERRIOS-R,4,1,0,2,0,0,3,0,0,10,-160,-117,-1.5,135,8.5,-110,9,-110
724,968,H,CWS,LGIOLITO-R,1,4,0,0,0,0,0,0,0,5,140,107,1.5,-155,8.5,-110,9,-110
