"bpid","mlbid","Name","Age","Team","WARP","DRA.","DRA","DRA.SD","cFIP","G","GS","GR","IP","W","L","SV","ERA","RA9","FIP","WHIP","K.","BB.","K.BB","Whiff.","sbid","SPR"
57424,446372,"Corey Kluber",31,"CLE",7.5,58,2.7,0.4,63,29,29,0,203.7,18,4,0,2.25,2.47,2.5,0.87,34.1,4.6,7.4,33.7,"CKLUBER-R",0.977171681997565
65751,519242,"Chris Sale",28,"BOS",7.3,60,2.83,0.42,62,32,32,0,214.3,17,8,0,2.9,3.07,2.45,0.97,36.2,5.1,7.2,31.7,"CSALE-L",0.976396674063747
56753,453286,"Max Scherzer",32,"WAS",7.3,61,2.85,0.42,71,31,31,0,200.7,16,6,0,2.51,2.78,2.9,0.9,34.4,7.1,4.9,32.7,"MSCHERZER-R",0.986389324827653
49786,477132,"Clayton Kershaw",29,"LOS",6.5,72,3.37,0.43,77,27,27,0,175,18,4,0,2.31,2.52,3.07,0.95,29.7,4.4,6.7,30,"CKERSHAW-L",0.97358570712009
31734,425844,"Zack Greinke",33,"ARI",6.3,75,3.54,0.42,80,32,32,0,202.3,17,7,0,3.2,3.56,3.31,1.07,26.8,5.6,4.8,29.2,"ZGREINKE-R",0.97922525175542
101074,622663,"Luis Severino",23,"NYY",6.2,72,3.38,0.45,76,31,31,0,193.3,14,6,0,2.98,3.4,3.07,1.04,29.4,6.5,4.5,28.1,"LSEVERINO-R",0.991475274893297
47229,471911,"Carlos Carrasco",30,"CLE",6.2,79,3.69,0.43,78,32,32,0,200,18,6,0,3.29,3.29,3.1,1.1,28.3,5.8,4.9,29.7,"CCARRASCO-R",0.992222934157742
67740,594798,"Jacob deGrom",29,"NYM",5.7,73,3.41,0.44,77,31,31,0,201.3,15,10,0,3.53,3.89,3.5,1.19,28.9,7.1,4.1,29.3,"JDEGROM-R",0.979427988071032
61056,544931,"Stephen Strasburg",28,"WAS",5.2,64,3.02,0.39,69,28,28,0,175.3,15,4,0,2.52,2.82,2.72,1.02,29.1,6.7,4.3,28.1,"SSTRASBURG-R",0.971998175786369
50175,502188,"Jeff Samardzija",32,"SFO",5,87,4.09,0.44,90,32,32,0,207.7,9,15,0,4.42,4.64,3.61,1.14,24.2,3.8,6.4,22.5,"JSAMARDZIJA-R",0.995200002708871
50101,502042,"Chris Archer",28,"TAM",4.6,80,3.75,0.45,80,34,34,0,201,10,12,0,4.07,4.52,3.4,1.26,29.2,7,4.2,30.6,"CARCHER-R",1.00090597907183
67083,592662,"Robbie Ray",25,"ARI",4.6,74,3.5,0.54,85,28,28,0,162,15,5,0,2.89,3.17,3.72,1.15,32.8,10.7,3.1,34.7,"RRAY-L",0.976803913651513
100718,622072,"Alex Wood",26,"LOS",4.5,79,3.73,0.44,83,27,25,2,152.3,16,3,0,2.72,2.95,3.32,1.06,24.6,6.2,4,25.8,"AWOOD-L",0.990268492263838
68467,572020,"James Paxton",28,"SEA",4.5,74,3.46,0.54,76,24,24,0,136,12,5,0,2.98,3.11,2.61,1.1,28.3,6.7,4.2,28.3,"JPAXTON-L",0.977867303882704
65895,519076,"Jimmy Nelson",28,"MIL",4.4,74,3.48,0.47,71,29,29,0,175.3,12,6,0,3.49,3.85,3.05,1.25,27.3,6.6,4.1,25.5,"JNELSON-R",0.988176838330754
70943,605400,"Aaron Nola",24,"PHI",4.4,76,3.55,0.47,76,27,27,0,168,12,11,0,3.54,3.59,3.27,1.21,26.6,7.1,3.8,26.5,"ANOLA-R",0.972998575296971
53155,506433,"Yu Darvish",30,"",4.2,86,4.02,0.42,89,31,31,0,186.7,10,12,0,3.86,4,3.83,1.16,27.3,7.6,3.6,28.1,"YDARVISH-R",0.992290886695317
65957,543037,"Gerrit Cole",26,"PIT",3.9,92,4.31,0.46,93,33,33,0,203,12,12,0,4.26,4.34,4.08,1.25,23.1,6.5,3.6,21.7,"GCOLE-R",0.985786188450988
45613,434378,"Justin Verlander",34,"",3.9,93,4.39,0.45,102,33,33,0,206,15,8,0,3.36,3.5,3.84,1.17,25.8,8.5,3,23.6,"JVERLANDER-R",0.961345674137022
57086,502748,"Brad Peacock",29,"HOU",3.8,79,3.73,0.48,85,34,21,13,132,13,2,0,3,3.14,3.07,1.19,29.5,10.4,2.8,30.1,"BPEACOCK-R",0.993634448164177
45548,452657,"Jon Lester",33,"CUB",3.8,95,4.47,0.5,95,32,32,0,180.7,13,8,0,4.33,5.03,4.1,1.32,23.6,7.9,3,25.3,"JLESTER-L",1.01603125791059
31607,429722,"Ervin Santana",34,"MIN",3.6,98,4.59,0.46,109,33,33,0,211.3,16,8,0,3.28,3.62,4.46,1.13,19.3,7.1,2.7,23.4,"ESANTANA-R",0.981670616919788
58921,543699,"Tanner Roark",30,"WAS",3.4,94,4.4,0.49,97,32,30,2,181.3,13,11,0,4.67,5.21,4.13,1.33,21.4,8.2,2.6,23.5,"TROARK-R",1.00987630428759
36959,448179,"Rich Hill",37,"LOS",3.4,74,3.49,0.5,84,25,25,0,135.7,12,8,0,3.32,3.38,3.72,1.09,30.1,8.9,3.4,28.5,"RHILL-L",0.999513132311782
70445,605242,"Michael Fulmer",24,"DET",3.4,99,4.67,0.48,100,25,25,0,164.7,10,12,0,3.83,4.37,3.67,1.15,16.9,5.9,2.9,21.3,"MFULMER-R",0.984745033532568
69172,543294,"Kyle Hendricks",27,"CUB",3.3,88,4.15,0.52,93,24,24,0,139.7,7,5,0,3.03,3.16,3.88,1.19,21.6,7,3.1,21.2,"KHENDRICKS-R",0.983256720144634
59473,547888,"Masahiro Tanaka",28,"NYY",3.3,93,4.39,0.5,90,30,30,0,178.3,13,12,0,4.74,5.05,4.34,1.24,25.8,5.5,4.7,31.3,"MTANAKA-R",0.994320546630129
100137,643327,"Zack Godley",27,"ARI",3.3,80,3.75,0.43,79,26,25,1,155,8,9,0,3.37,3.54,3.41,1.14,26.3,8.5,3.1,30.8,"ZGODLEY-R",0.995092455324811
70641,608379,"Michael Wacha",25,"STL",3.2,95,4.47,0.51,91,30,30,0,165.7,12,9,0,4.13,4.45,3.63,1.36,22.5,7.8,2.9,23,"MWACHA-R",0.995799175695887
70335,545333,"Trevor Bauer",26,"CLE",3.2,90,4.23,0.5,87,32,31,1,176.3,17,9,0,4.19,4.29,3.88,1.37,26.2,8,3.3,23.9,"TBAUER-R",1.00344932601436
60448,572971,"Dallas Keuchel",29,"HOU",3.1,99,4.63,0.45,93,23,23,0,145.7,14,5,0,2.9,3.09,3.79,1.12,21.4,8,2.7,27.1,"DKEUCHEL-L",0.987972232710667
70371,573186,"Marcus Stroman",26,"TOR",3.1,98,4.63,0.47,89,33,33,0,201,13,9,0,3.09,3.67,3.9,1.31,19.7,7.4,2.6,23.6,"MSTROMAN-R",0.976992245913454
61051,502190,"Mike Leake",29,"",3.1,103,4.82,0.42,100,31,31,0,186,10,13,0,3.92,4.5,3.9,1.28,16.6,4.7,3.5,18.3,"MLEAKE-R",0.985449341165618
102254,628317,"Kenta Maeda",29,"LOS",3,92,4.31,0.49,99,29,25,4,134.3,13,6,1,4.22,4.56,4.07,1.15,25.1,6.1,4.1,27.5,"KMAEDA-R",1.00528688833096
50167,502171,"Alex Cobb",29,"TAM",3,110,5.18,0.57,106,29,29,0,179.3,12,10,0,3.66,3.91,4.16,1.22,17.3,5.9,2.9,16.9,"ACOBB-R",0.995363983930403
52691,453562,"Jake Arrieta",31,"CUB",2.8,91,4.26,0.49,95,30,30,0,168.3,14,10,0,3.53,4.38,4.16,1.22,23.1,7.8,3,21.1,"JARRIETA-R",1.00462705417682
56197,518633,"Danny Duffy",28,"KAN",2.8,101,4.76,0.64,96,24,24,0,146.3,9,10,0,3.81,4.12,3.46,1.26,21.3,6.7,3.2,24.4,"DDUFFY-L",0.980782643157403
68564,592351,"Jon Gray",25,"COL",2.8,82,3.85,0.51,82,20,20,0,110.3,10,4,0,3.67,3.83,3.18,1.3,24.3,6.5,3.7,22.7,"JGRAY-R",0.99055487712344
1117,282332,"CC Sabathia",36,"NYY",2.7,107,5.02,0.59,106,27,27,0,148.7,14,5,0,3.69,3.87,4.49,1.27,19.3,8,2.4,21.1,"CSABATHIA-L",0.974933497565488
68404,519141,"Drew Pomeranz",28,"BOS",2.7,101,4.73,0.55,97,32,32,0,173.7,17,6,0,3.32,3.58,3.84,1.35,23.5,9.3,2.5,24,"DPOMERANZ-L",0.993876462843747
48258,450203,"Charlie Morton",33,"HOU",2.7,82,3.86,0.52,80,25,25,0,146.7,14,7,0,3.62,3.99,3.46,1.19,26.4,8.1,3.3,25.8,"CMORTON-R",1.00307612449489
51645,500779,"José Quintana",28,"",2.7,85,4.01,0.46,86,32,32,0,188.7,11,11,0,4.15,4.39,3.68,1.22,26.2,7.7,3.4,21.3,"JQUINTANA-L",0.980268410257488
60921,573185,"Dan Straily",28,"MIA",2.7,99,4.66,0.54,106,33,33,0,181.7,10,9,0,4.26,4.46,4.58,1.3,22.1,7.8,2.8,26.6,"DSTRAILY-R",1.0029413098799
